Categoria,Titulo,Conteudo,Palavras Chave,URL
Vendas 🛒,Sem acesso para incluir pedido,"Sem acesso para incluir pedidos
Tela: SGW0023 - Permissões	Corpo: 0001 
Permissões Relacionadas: VDW0001F - Permite inclusão de produtos no pedido.
Descrição do Problema: Grupo de Vendedores não conseguiam incluir produtos no pedido, somente serviço.
Descrição da Solução: Grupo Vendedores não tinha a permissão de inclusão de produtos. Módulo Segurança >> Permissões >> Procurar pelo grupo e pela permissão VDW0001F e clicar na seta única apontando para a direita, Gravar e sair e entrar novamente no sistema.","sem acesso, incluir pedido",https://unoerpwiki.herokuapp.com/pt-br/Sem-acesso-pedido
Vendas 🛒,Solicitação de devolução,"Solicitação de Devolução
Tela: VDW0031 - Solicitação de Devolução	Corpo: Corpo: (01.01) 
*Precisa validar se é plugin a parte e se é cobrado
Módulo Estoque: Solicitação de Devolução  à VDW0031 - Solicitação de Devolução
Descrição: Realiza pedidos de solicitação para devoluções de vendas.
Descrição dos Campos, Implicações e Exemplos 
Dt. Solicitação de e Até: Período/","devolução, solicitação",https://unoerpwiki.herokuapp.com/Solicitacao-devolucao
Vendas 🛒,Pedido item zerado,"Pedido item zerado
Tela: VDW001 - Pedidos	Corpo:
VDW0001O 	Permite gravar item com Vl original zerado
Problema:
Ao tentar salvar o pedido o sistema exibe a mensagem:
“Preço original do item zerado”
Descrição Solução:
Se o usuário tiver a permissão VDW0001O - Permite gravar item com Vl original zerado, o sistema permite a gravação, no caso acima o usuário não tinha a permissão. O item constava vinculado as tabelas de preço mas ainda assim exibia a mensagem.
O pedido acima foi gerado da oportunidade e na oportunidade não constava tabela de preço vinculada, por isso o original fica zerado:","pedido, item, zerado",https://unoerpwiki.herokuapp.com/pt-br/Pedido-item-zerad0
Vendas 🛒,Senha para liberação de desconto,"Senha para liberação de desconto
Tela: VDW0001-Pedidos	Corpo: 0010
O cliente Mebrasi possui um processo de autorização para validação de desconto no pedido de venda que solicita senha, para esse processo foi criado um parâmetro onde é possível atualizar a senha.
Para realizar a atualização/cadastro da senha acessar o módulo Cadastros Gerais > Cadastros Iniciais > Parâmetros Iniciais
Em parâmetros Iniciais selecionar o módulo vendas, o parâmetro : Senha para Desconto no Total do Pedido será uns dos últimos da tela.
Ao inserir o desconto no pedido irá aparecer um pop up solicitando a senha.","desconto, senha, liberacao",https://unoerpwiki.herokuapp.com/pt-br/senha-liberacao-desconto
Vendas 🛒,Item está associado à outro cliente,,Nenhuma palavra-chave encontrada,https://unoerpwiki.herokuapp.com/e/pt-br/item-est%C3%A1-associado-%C3%A0-outro-cliente
Vendas 🛒,Envio de email no pedido fica processando,"ENVIO DE EMAIL NO PEDIDO FICA PROCESSANDO - ASSINATURA DO COLABORADOR
Esse problema está na ocorrência 302816, SuperDin
Ao clicar para enviar o email, ele apenas ficava processando e não finalizava o envio, porém quando olhamos no Log, também não é processado.
Na questão de envio de e-mails teremos que olhar em duas telas:
1 – COLABORADORES
Temos que confirmar se o e-mail, senha, SMTP, porta SMTP, estão corretos e se é necessário marcar se “Utiliza TLS e SSL”
2 - PARÂMETROS - MÓDULO “SEGURANÇA”
Verificar os parâmetros de email geral que o sistema irá utilizar
Nesse caso da SuperDin, após algumas análises, verificamos que esse processamento estava relacionado a assinatura de cada vendedor
Ao analisar notamos que todos os links das assinaturas que estavam sendo usados seriam “http”, porém o sistema utiliza “https”
Fizemos a alteração, porém mesmo alterando todos os links das assinaturas para “https”
Porém todos os emails enviados através da tela de pedidos também tinham uma estrutura pré-definida na tela de cadastro de textos
Nesse caso é necessário alterar para “https” caso estejam utilizando alguma assinatura","pedido, colaborador, email, processando",https://unoerpwiki.herokuapp.com/pt-br/email-pedido
Vendas 🛒,A situação da oportunidade não é alterada ao faturar pedido,"A situação da oportunidade não é alterada ao faturar pedido 
Tela: ATW0102 - Cadastro de Oportunidades	Corpo: 0001
Parâmetro Relacionado: Cód. Status para a Oportunidade quando o pedido for faturado
Descrição do Problema:
O parâmetro “Cód. Status para a Oportunidade quando o pedido for faturado” consta preenchido porém ao faturar o pedido a situação da oportunidade não é alterada.
Descrição da solução:
A situação da oportunidade só é alterada quando o “Tp Oportunidade” é “Pontual”. O sistema não muda a oportunidade conforme o parâmetro quando o Tipo da oportunidade é “Periódica”.","pedido, faturamento, faturar, situação, oportunidade, alterada",https://unoerpwiki.herokuapp.com/pt-br/situacao-oportunidade-pedido
Vendas 🛒,DesktopRV- Desktop da revenda,"DESKTOPRV - Desktop da Revenda
Tela: DESKTOPRV - Desktop da Revenda	Plugin de revenda – contratado a parte
Módulo Revenda: DESKTOPRV - Desktop da Revenda
Descrição:O Módulo Revenda é um canal de comunicação direta entre a sua empresa e seus canais de venda (representantes, vendedores externos, distribuidores, revendas, etc).
Descrição dos Campos, Implicações e Exemplos
As principais funcionalidades são: 
Inclusão e consulta de clientes relacionados ao canal de venda; 
Inclusão de pedidos simplificada; 
Consulta da situação do pedido; 
Consulta de estoque do produto; 
Relatório de comissão do canal de venda.
Home:
Cockpit da Revenda: Nele é mostrado ao vendedor os pedidos em Abertos nos últimos 30 dias, emitido para a revenda em que o vendedor está associado. 
Ranking Clientes: Mostra os novos  clientes cadastrados nos últimos 30 dias pela revenda em que o vendedor está associado. Os pedidos com situação inserida no parâmetro vai ser os considerados no Desktop. 
Caro vendedor: O texto que aparece no HOME pode ser alterado no cadastro de texto em à Módulo Segurança à SGW0016 – Cadastros de Texto. Através da tela SGW0016 você pode alterar alguns textos padrões do módulo revenda. (colocar hiperlink para tela <<)
                São eles: 
Email - Boas Vindas Revenda 
Texto - Boas Vindas ao primeiro acesso da Revenda 
Texto - Desktop Revenda 
Texto - Login Revenda 
Texto - Rodapé Revenda","desktop, rv",https://unoerpwiki.herokuapp.com/pt-br/Desktop-RV
Vendas 🛒,Erro JAVA no pedido,"Erros em Pedidos
Tela: VDW0001 - Pedidos	Corpo: 0001 
Descrição do Problema:
Ao buscar pedido mostrando erode JAVA na tela.
java.lang.NumberFormatException: null
Descrição da Solução:
Algum dado importante que deveria carregar no pedido está em branco ou null.
Onde altera:
Somente coletando log para ver onde está sem a informação. Alterado no Banco de Dados.      
No banco de dados:
Dentro do banco em vd_pedido geralmente a “Situação” está em branco deixar em uma situação válida. Se houver situação coletar log para identificar onde está sem informação","venda, pedido, erro",https://unoerpwiki.herokuapp.com/pt-br/erro-pedido
Vendas 🛒,Imposto ST para MT,"Calculo de impostos
Tela: VDW0001 - Pedidos	Corpo: 0001
Descrição do Problema:
Calculo de imposto diferenciado de ST para o estado de Mato Grosso.
Descrição da Solução:
Necessário verificar parâmetros e cadastro de cliente.
Onde altera:
Cadastros Gerais > Cadastros iniciais > Parâmetros Iniciais > Modulo: Vendas “""Utiliza Perc. Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?” - Definir “SIM”
Em Cadastros Gerais > Clientes: No passo 2º definir “Perc. Carga Média”","imposto, st, mt",https://unoerpwiki.herokuapp.com/pt-br/Imposto-st-para-mt
Vendas 🛒,Pedidos - Não busca os produtos,"Pedidos - Não busca os produtos
Tela: VDW0001 – Pedidos	Corpo: 0001 (01.01)
Permissões Relacionadas: CDW0001 - Parâmetros do Sistema
Descrição do Problema:
Ao preencher o código do produto no Pedido ou buscar pela lupa e selecionar, é exibido a mensagem “Consulta não retornou valores! ”
Descrição da Solução:
Validar se no cadastro do produto consta a opção Item “Item Faturado(Prod Acabado)” selecionada:
Módulo Cadastros Gerais: Produtos e serviços → CDW0201 - Produtos e Serviços
Se a opção estiver selecionada, validar qual opção de busca de produto consta habilitada no pedido:
Módulo Vendas: Pedidos → VDW0001 – Pedidos
Ir no passo 2 do Pedido:
No exemplo acima consta a opção “Ean” selecionada, portanto só vai exibir o item se a busca for por código Ean, no campo produto ou na busca pela lupa.
Para alterar a opção de busca é necessário alterar o parâmetro “Busca de Produto Padrão Pedido (1=CodProduto/2=CodEan/3=CodBarras)”
Ir em Módulo Cadastros Gerais: Cadastros Iniciais → Parâmetros Iniciais → CDW0001 - Parâmetros do Sistema","pedidos, não busca",https://unoerpwiki.herokuapp.com/pt-br/pedidos-n%C3%A3o-busca-os-produtos
Vendas 🛒,SIGEP - Imprimir Etiqueta PDF,"SIGEP - Imprimir Etiqueta PDF
Tela: SGR0303 - SIGEP - Imprimir Etiqueta PDF	Corpo: (01.01) 
**Serviço contratado a parte** 
Módulo Vendas: SIGEP → Lista de Postagem à SGW0302 - SIGEP - Lista de Postagem à SGR0303 - SIGEP - Imprimir Etiqueta PDF.
Descrição: Geração em arquivo PDF para impressão das etiquetas.
Descrição dos Campos, Implicações e Exemplos
Na tela à SGW0302 - SIGEP - Lista de Postagem (colocar hiperlink tela já existe no Uno <<) ao selecionar a nota e clicar no botão, gera o PDF da etiqueta a ser impressa.","etiqueta, imprimir, pdf",https://unoerpwiki.herokuapp.com/pt-br/imprimir-etiqueta-pdf
Vendas 🛒,Utilizar crédito do cliente Tp Pagto Credito,"Pedidos – Utilizar crédito do cliente Tp Pagto Credito
Tela: VDW0001 - Pedidos	Corpo: 0001 
Parâmetro Relacionado: Recalcula o valor dos Pagamentos no faturamento	Módulo Cadastros Gerais: Cadastros Iniciais → Parâmetros Iniciais → CDW0001 - Parâmetros do Sistema - Módulo Vendas
Problema:
O cliente tem um título de crédito gerado e quer abater esse valor no pedido faturado.
Solução
É possível criar um título de crédito manualmente para o cliente ou automaticamente quando é feito o recebimento por devolução.
Para utilizar os valores de créditos existente no pedido de venda a forma de pagamento utilizada deve estar associada no seu cadastro ao tipo de pagamento Crédito
Para criar uma forma de pagamento utilize a tela CDW0007 - Formas de Pagamento, ir em Módulo Cadastros Gerais: Formas de Pagamento → CDW0007 - Formas de Pagamento.
O título de crédito deve estar com valor negativo (Ex: -100,00) e ser do tipo CR = Crédito de Devolução (recebimento), conforme exemplo abaixo:
Quando o cliente tem título de crédito gerado o ícone 
 é exibido no pedido de venda ao incluir o cliente no pedido, ao passar o mouse sobre o ícone é exibido o valor existente dos títulos de crédito abertos para o cliente e o saldo do crédito que pode ser utilizado nos pedidos de venda:
No passo 3 do pedido, se a forma de pagamento for parametrizada com o tipo “Crédito” será exibido o ícone 
 (após salvar o pedido):
Clicando no ícone será acionada a tela VDD0025 - Créditos do cliente para selecionar o crédito que será utilizado. Nessa tela é só clicar no botão buscar que será exibido os títulos de crédito do cliente, selecionar o título e editar o valor que será usado (se necessário) e clicar no botão utilizar créditos:
Após seguir os passos acima o crédito é vinculado ao pedido:
Neste caso quando o pedido de venda for faturado o sistema vai baixar o valor utilizado no título de credito.
Obs: Dependendo do valor do pedido é criado outro título no valor da diferença, mas se o pedido for no mesmo valor do título de crédito não serão gerados novos títulos.
No faturamento detalhado ainda exibe o valor do título:
Após o faturamento podemos validar no pedido que não foi gerado títulos para o cliente pois o crédito de 100,00 foi utilizado no pedido com valor de 100,00 R$, dessa forma não é gerado novos títulos.
O título de crédito fica com situação Pago e no histórico da baixa é possível validar que foi por abatimento e de qual pedido se trata:
OBS: Essa forma de pagamento não bloqueia a geração de antecipação no pedido de venda.","credito, tp pagto",https://unoerpwiki.herokuapp.com/pt-br/Utilizar-credito-cliente-pagto
Vendas 🛒,Itens Bonificados,"VDW0054 - Itens Bonificados
Modulo: Vendas	Tela: VDW0054 – Itens Bonificados
Corpo: (01.01)  	*Precisa validar se é plugin a parte e se é cobrado
Módulo Vendas: Itens Bonificados à VDW0054 – Itens Bonificados 
Descrição: Geração do pedido de bonificação considerando os pedidos MultiEmpresa
Descrição dos Campos, Implicações e Exemplos 
Dt Inicial e Final: Período da","itens, bonificado",https://unoerpwiki.herokuapp.com/pt-br/Itens-bonificado
Vendas 🛒,Custo total tela VDW00007 - Fup - Pedidos,"Custo Total e Unitário tela VDW0007 - FUP – Pedido 
Tela: VDW0007 - FUP – Pedido	Corpo: 0001 (01.01)
Descrição do Problema:
Qual o cálculo utilizado para obter o valor do campo Custo Total Pedido, na tela VDW0017?
Verificar informações:
Utilizado um pedido com o item 28063 como exemplo:
Descrição da Solução:
Custo do Item 16,64, quantidade no pedido de venda: 200
Custo Total tela VDW0007 - FUP – Pedido: 3327,64
3327,64 / 200 qtd pedido = 16,6382 
Custo Total exibido na tela abaixo é, “Custo Total * Qtd ”  (16,6382 * 200)
Como é obtido o valor do campo Custo Unit Pedido da tela VDW0017?
É o Custo Total do Pedido dividido pela quantidade de itens, conforme exemplo abaixo:
3327,64 / 200 qtd pedido = 16,6382","pedido, fup, total, custo, tela vdw0007",https://unoerpwiki.herokuapp.com/pt-br/Custo-total-pedido
Vendas 🛒,Custo Total Zerado - VDW0007 - Fup - Pedido,"Custo Total Zerado - VDW0007 - FUP - Pedido 
Tela: VDW0007 - FUP - Pedido	Corpo: 0001 (01.01)
Descrição do Problema:
Após faturar o pedido o campo Custo Total da tela VDW0007 - FUP - Pedido fica zerado.
Verificar informações:
Caso não tenha o custo informado na tabela eq_saldo (Relatório EQW0012 - FUP - Estoque) no momento do faturamento, isso pode zerar o custo do pedido.
No exemplo utilizado o item é do tipo fabricado, o custo consta zerado pois não está sendo calculado o custo ao fazer o reporte de produção, por isso o eq_saldo.vl_custo_total está ficando zerado. (Parâmetro módulo Produção - Atualiza os custos médio e total no reporte da OP – constava como Não)","pedido, fup, total, custo, zerado",https://unoerpwiki.herokuapp.com/pt-br/Custo-total-zerado
Vendas 🛒,Processo E-fut,"Processo E-Fut
Tela:	Corpo: 
Descrição do Problema:
Para usar o processo de e-fut é necessário ter parametrizado um deposito, NOP e parâmetro.
1º Ter um deposito configurado.
2º Definir nos parametros de venda a NOP a ser utilizada.
Importante
Nop do pedido que vai para o cliente tem que estar configurada da seguinte forma:
-Descrição: Venda para Entrega Futura
-Gera contas a Receber
-Possui estatistica de venda
-Não pode atualizar o estoque
-A flag E-fut deve estar ativada
As nop’s que serão configuradas no parâmetro refere-se ao segundo pedido, portanto tem que estar configurada da seguinte forma:
- Descrição: como Simples Remessa
- Não pode gerar contas a receber
- Não pode possuir estatística de venda
- Precisa atualizar o estoque
- Não pode estar com a flag Efut ativada
Criar um pedido com a NOP criada que será e-fut que irá para o cliente e faturar, este não irá movimentar estoque, somente o financeiro e dele será gerado outro pedido que irá atualizar estoque, este pedido respeita os mesmos padrões do pedido “titular” mas leva como NOP a cadastrado no parâmetro","processo, e-fut",https://unoerpwiki.herokuapp.com/pt-br/Processo-E-fut
Vendas 🛒,PDV Criação de pedidos e faturamento,"VDW0110 – PDV – Criação de pedido e faturamento
Parâmetros Relacionados
Indica como gera o próximo codigo de título ( Pagar e Receber )” para Multiempresa
Série utilizada no faturamento de Comprovante pela tela Fechamento de Venda
Série utilizada no faturamento de NFC-e pela tela Fechamento de Venda
Série utilizada no faturamento de NF-e pela tela Fechamento de Venda
Série utilizada no faturamento de NFS-e pela tela Fechamento de Venda
Cód. Cliente Consumidor Final
Permissões Relacionadas
FNW0300A – Permite Abrir Caixa para outro Colaborador       
FNW0300B – Permite Conferir Caixa                   
FNW0300C – Permite Fechar Caixa                                         
FNW0300D – Permite Cancelar Caixa 
VDW0110 - PDV
Para criar um pedido é necessário realizar a abertura de um caixa, só é possível realizar um pedido de venda se existir um caixa aberto com o mesmo responsável logado.
Módulo Financeiro: Abertura e Fechamento de Caixa → FNW0300 - Abertura e Fechamento de Caixa
Clicar no botão:
 o sistema exibe a mensagem abaixo, é só clicar em ok e no botão:
Lembrando que para utilizar essa tela é necessário ajustar o parâmetro “Indica como gera o próximo código de título ( Pagar e Receber )” para Multiempresa”
Módulo Cadastros Gerais à  Cadastros iniciais à CDW0001 - Parâmetros do Sistema
É necessário também que na tela de cadastro de bancos esteja selecionado a opção “Controla Abertura/Fechamento Caixa”
Módulo Segurançaà SGW0014 – Colaboradores
Na tela de cadastro de colaborador é necessário que esteja selecionado na aba Bancos o mesmo banco que você configurou no tópico anterior como “Controla Abertura/Fechamento Caixa”
Configuração da Forma de Pagamento
Módulo Cadastros Gerais à CDW0007 - Formas de Pagamento
No cadastro de forma de pagamento é necessário que:
O Banco Baixa deve ser o mesmo que foi configurado como “Controla Abertura/Fechamento Caixa”
Selecionar a opção “Controla Abertura/Fechamento Caixa”
Após o processo acima descrito ter sido realizado é possível criar um pedido de venda pela tela VDW0110 – PDV:
Ao abrir a tela o sistema já exibe um cliente no campo Cod.Cliente, esse código é o definido no parâmetro “Cód. Cliente Consumidor Final”.
Módulo Cadastros Gerais: Cadastros Iniciais → Parâmetros Iniciais → CDW0001 - Parâmetros do Sistema - Módulo Vendas  - Cód. Cliente Consumidor Final
O campo Produto faz a busca pela descrição do item, e se clicar na descrição do item exibido na “Lista de Produtos” o item já é adicionado ao pedido:
Após adicionar os itens clicar no botão 
 que o pedido já é gravado e disponibilizado na tela VDW0005 – Faturamento:
Na tela de tela VDW0005 – Faturamento é necessário clicar no campo Cliente para que seja acionada a tela VDD0083 - Fechamento de Venda :
Ao clicar no campo Cliente é acionada a tela VDD0083 - Fechamento de Venda:
Nessa tela é onde será definido qual forma ou formas de pagamentos serão usadas nesse faturamento, é necessário digitar a descrição da forma de pagamento conforme definido no cadastro em Módulo Cadastros Gerais: Formas de Pagamento → CDW0007 - Formas de Pagamento:
Usando o exemplo acima, vamos digitar no campo Forma pagamento a descrição definida, que seria Boleto, Dinheiro, Cartão de Crédito Amex, exatamente como definido na descrição do cadastro. Ao preencher a forma de pagamento o sistema já calcula o valor, caso seja usado mais de uma forma de pagamento é ajustado o valor manualmente na parcela e ao inserir a próxima o cálculo é automático:
Após preencher as informações de pagamento aí é possível escolher a forma de faturamento:
  - Somente comprovante, ex: nota 21.
 - Integra com a Sefaz e gera Nfe Federal 9 (se homologado)
 - Gera cupom faturamento PDV – Nfce
 - Gera NfS-e integra com a prefeitura (se homologado)
As séries usadas para cada faturamento é definida nos parâmetros abaixo:
Série utilizada no faturamento de Comprovante pela tela Fechamento de Venda
Série utilizada no faturamento de NFC-e pela tela Fechamento de Venda
Série utilizada no faturamento de NF-e pela tela Fechamento de Venda
Série utilizada no faturamento de NFS-e pela tela Fechamento de Venda
Módulo Cadastros Gerais: Cadastros Iniciais → Parâmetros Iniciais → CDW0001 - Parâmetros do Sistema -Módulo PDV","pdv, pedido, faturamento, criacao",https://unoerpwiki.herokuapp.com/pt-br/Pdv-criacao-pedido
Vendas 🛒,Faturamento detalhado não recalcula os vencimentos automático,"VDW0008 - Faturamento Detalhado – Não recalcula os vencimentos automático
VDW0008 - Faturamento Detalhado	Caminho
Parâmetros Relacionados: 
Recalcula as","faturamento, automatico, detalhado, recalcula, vencimentos",https://unoerpwiki.herokuapp.com/pt-br/faturamento-detalhado
Vendas 🛒,Cálculo da ST não é realizada no pedido (Cliente UF MT),"Cálculo da ST não é realizada no pedido (Cliente UF MT)
Tela:	Corpo: 
Parâmetro Relacionado: ""Utiliza Perc Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?""
Descrição do Problema: Mesmo utilizando a CSOSN correta e a regra estar preenchida com os valores o cálculo da ST não está sendo realizado.
Descrição da Solução: Verificar se o parâmetro ""Utiliza Perc Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?"" consta como SIM, nesse caso é necessário que no cadastro do cliente campo Perc carga média conste preenchido. 
(Cadastros Gerais – Cadastros Iniciais – Parâmetros Iniciais - Vendas ""Utiliza Perc Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?"")","pedido, cliente, cálculo, st, uf mt",https://unoerpwiki.herokuapp.com/pt-br/c%C3%A1lculo-da-st-n%C3%A3o-%C3%A9-realizado-no-pedido-cliente-uf-mt
Vendas 🛒,Ao transferir pedido o mesmo é cancelado,"Ao transferir Pedido o mesmo é cancelado
Tela: VDW0001 - Pedidos
Descrição do Problema: Com o pedido já gravado, o sistema permite alterar o pedido de uma empresa para outra. Ao clicar duas vezes no código do pedido, o sistema abre uma janela para informar o código da empresa a ser alterada. Depois de alterado o código e confirmado, o sistema transfere o pedido para outra empresa e limpa a tela. Ao realizar a busca na empresa onde consta o pedido o mesmo está com situação cancelado.
Descrição da Solução: Os produtos não estão vinculados com a empresa, verificar na tela CDW0201 - Produtos e Serviços - Aba Empresa e selecionar a empresa na qual o pedido vai ser transferido. O pedido fica sem itens e com isso o mesmo é cancelado.","pedido, cancelado, transferir",https://unoerpwiki.herokuapp.com/pt-br/Transferir-pedido
Vendas 🛒,Calculo de St não é realizado no Pedido,"Cálculo da ST não é realizado no Pedido (Cliente UF MT)
Tela: VDW0001 - Pedidos	Corpo:
BO Customizado:	Parâmetro Relacionado: ""Utiliza Perc Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?""
Descrição do Problema: Mesmo utilizando a CSOSN correta e a regra estar preenchida com os valores o cálculo da ST não está sendo realizado.
Descrição da Solução: Verificar se o parâmetro ""Utiliza Perc Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?"" consta como SIM, nesse caso é necessário que no cadastro do cliente campo Perc carga média conste preenchido. 
(Cadastros Gerais – Cadastros Iniciais – Parâmetros Iniciais - Vendas ""Utiliza Perc Carga Média do cadastro do cliente no cálculo da ST para o estado do MT?""","pedido, calculo, st, realizado",https://unoerpwiki.herokuapp.com/pt-br/Calculo-St-Pedido
Vendas 🛒,Cancela pedidos com a data de validade maior que a proposta,Cron – Cancela pedidos com a,"data, pedido, validade, cancela, proposta",https://unoerpwiki.herokuapp.com/pt-br/Cancela-pedidos
Vendas 🛒,Desktop Vendas corpo verdesmares não procede com relatório fup vendas,"Desktop Vendas - Corpo Verdesmares (01.01) – Valor não procede com relatório Fup Vendas
Desktop - Corpo Verdesmares (01.01)
Tela: Cockpit Vendas
Problema
O valor exibido no cockpit de Vendas não procede com o valor exibido no VDW0603 - FUP – Vendas
Solução
O cockpit na opção “Total dos Pedidos” considera Pedidos com situação maior ou igual á Pedido (10) e menor igual á Entregue (90) e com","vendas, fup, desktop, verdesmares",https://unoerpwiki.herokuapp.com/pt-br/Desktop-vendas
Vendas 🛒,E-mail de solicitação e apovação de assinatura eletronica,"E-mail de solicitação e aprovação de assinatura eletrônica
Tela: VDW0001 - Pedidos
Corpo:
BO Customizado:
Parâmetro Relacionado: Tipo de Assinatura Eletrônica de Venda
Código do colaborador responsável para receber e-mail de desconto
Descrição do Problema: Os colaboradores cadastrados na tela CDW0301 - Cadastro de Assinaturas Eletrônicas Vendas não recebem o e-mail com a solicitação da assinatura eletrônica.
Descrição da Solução: Para que todos recebem o e-mail é necessário que o parâmetro Tipo de Assinatura Eletrônica de Venda conste como “Para Grupo de Colaborador”. Caso conste como “Para colaborador do parâmetro” apenas o colaborador preenchido no parâmetro “Código do colaborador responsável para receber e-mail de desconto” recebe os e-mails.","e-mail, solicitação, assinatura, eletronica, aprovação",https://unoerpwiki.herokuapp.com/pt-br/E-mail-assinatura-eletronica
Vendas 🛒,Pedidos - Não busca condição de pagamento,"Pedidos - Não busca condição de pagamento
Tela: VDW0001 - Pedidos	Corpo: 
Permissões Relacionadas: CDW0006 - Condições de Pagamento
Descrição do Problema: Ao selecionar a busca de condição de pagamento no pedido não consta resultado.
Descrição da Solução: Verificar se no cadastro de cliente a opção “Restringe condição de pagamento” está selecionado, caso sim selecionar o botão e marcar as condições disponíveis para o cliente.","condição, pagamento, não busca, condição de pagamento",https://unoerpwiki.herokuapp.com/pt-br/n%C3%A3o-busca-condi%C3%A7%C3%A3o-de-pagamento
Vendas 🛒,Mensagem: Colaborador com centro de custo nulo,,Nenhuma palavra-chave encontrada,https://unoerpwiki.herokuapp.com/e/pt-br/mensagem-colaborador-com-centro-de-custo-nulo
Vendas 🛒,Não esta abrindo o passo 3 Pagamentos tela de Pedid,"Não esta abrindo o passo 3 Pagamentos tela de Pedido
Tela: VDW0001 - Pedidos
Permissões Relacionadas:
VDW0001L - Permite gravar VI venda zerado
Descrição do Problema: Ao selecionar o passo 3 pagamentos do Pedido o mesmo não está abrindo a tela.
Descrição da Solução: Verificar se algum dos itens consta com valor zerado, caso sim é necessário que o usuário tenha a permissão VDW0001L - Permite gravar VI venda zerado habilitada.","tela, pedidos, passo 3, pagamentos",https://unoerpwiki.herokuapp.com/pt-br/Pagamento-tela-pedido
Vendas 🛒,Preço original do item zerado,"VDW0001 - Pedidos
Tela: VDW0001 - Pedidos
Permissões Relacionadas: 
VDW0001O - Permite gravar item com Vl original zerado
Problema:
Ao tentar salvar o pedido o sistema exibe a mensagem:
“Preço original do item zerado”
Descrição Solução:
Se o usuário tiver a permissão VDW0001O - Permite gravar item com Vl original zerado, o sistema permite a gravação, no caso acima o usuário não tinha a permissão. O item constava vinculado as tabelas de preço mas ainda assim exibia a mensagem.
O pedido acima foi gerado da oportunidade e na oportunidade não constava tabela de preço vinculada, por isso o original fica zerado:","original, item, zerado, preço",https://unoerpwiki.herokuapp.com/pt-br/Preco-original-item
Vendas 🛒,Venda e Pré venda - PDV,,Nenhuma palavra-chave encontrada,https://unoerpwiki.herokuapp.com/e/pt-br/venda-e-pre-venda-pdv
Vendas 🛒,Situação do Cliente não permite gravar pedido,"Situação do Cliente não permite gravar pedido
Tela: VDW0001 - Pedidos	Corpo: 
Permissões Relacionadas:  VDW0001B - Cliente Prospect: Clientes que tem a possibilidade de realizar uma compra. É possível faturar um cliente prospect.
Problema: Ao tentar salvar o pedido o sistema exibe a mensagem “Situação do cliente não permite gravar pedido nessa situação!”. Cliente com situação prospect:
Descrição Solução: É possível realizar uma compra ou faturar para um cliente prospect, desde que o usuário tenha a permissão VDW0001B - Cliente Prospect: Clientes que tem a possibilidade de realizar uma compra. É possível faturar um cliente prospect.","pedido, gravar, situação do cliente, não permite",https://unoerpwiki.herokuapp.com/pt-br/situa%C3%A7%C3%A3o-do-cliente-n%C3%A3o-permite-gravar-pedido
Vendas 🛒,Pedidos - No passo 3 não aparece os títulos,"Pedidos - No passo 3 não aparece os títulos
Tela: VDW0001 - Pedidos	Corpo: 
Permissões Relacionadas: CDW0006 - Condições de Pagamento
Descrição do Problema: Na nop consta selecionado para gerar contas a receber e mesmo assim as parcelas não aparecem no pedido.
Descrição da Solução: Verificar se na condição de pagamento a linha das parcelas (Pagamento, Dias, Percentual) consta criada. Se a linha não estiver criada, carregar o campo Qtd Parcelas novamente, preencher os dados e gravar.
Cadastros Gerais – Condiçoes de Pagamento","não aparece, títulos, passo 3",https://unoerpwiki.herokuapp.com/pt-br/no-passo-3-n%C3%A3o-aparece-os-t%C3%ADtulos
